NCM Code,NCM Description,Country,2022 - US$ FOB,2022 - Net Weight,2022 - Quantity,2021 - US$ FOB,2021 - Net Weight,2021 - Quantity,2020 - US$ FOB,2020 - Net Weight,2020 - Quantity,2019 - US$ FOB,2019 - Net Weight,2019 - Quantity,2018 - US$ FOB,2018 - Net Weight,2018 - Quantity,2017 - US$ FOB,2017 - Net Weight,2017 - Quantity,2016 - US$ FOB,2016 - Net Weight,2016 - Quantity,2015 - US$ FOB,2015 - Net Weight,2015 - Quantity,2014 - US$ FOB,2014 - Net Weight,2014 - Quantity,2013 - US$ FOB,2013 - Net Weight,2013 - Quantity,2012 - US$ FOB,2012 - Net Weight,2012 - Quantity,2011 - US$ FOB,2011 - Net Weight,2011 - Quantity,2010 - US$ FOB,2010 - Net Weight,2010 - Quantity,2009 - US$ FOB,2009 - Net Weight,2009 - Quantity,2008 - US$ FOB,2008 - Net Weight,2008 - Quantity,2007 - US$ FOB,2007 - Net Weight,2007 - Quantity,2006 - US$ FOB,2006 - Net Weight,2006 - Quantity,2005 - US$ FOB,2005 - Net Weight,2005 - Quantity,2004 - US$ FOB,2004 - Net Weight,2004 - Quantity,2003 - US$ FOB,2003 - Net Weight,2003 - Quantity,2002 - US$ FOB,2002 - Net Weight,2002 - Quantity,2001 - US$ FOB,2001 - Net Weight,2001 - Quantity,2000 - US$ FOB,2000 - Net Weight,2000 - Quantity
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Lebanon,182548,30149,28926,78872,24194,16947,45908,12384,8717,167358,21836,21533,150044,19742,19742,93480,12737,12546,71374,10665,10665,56196,6480,6480,270145,47610,47610,75810,6588,6588,47827,5805,5805,137954,17685,17685,123281,15741,15741,34971,5310,5310,47055,10270,10270,23441,5418,5418,4256,999,999,12774,1431,1431,2726,662,662,8014,1116,1116,9933,1492,1492,5460,7020,3510,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Hungary,160168,29260,24415,160816,20174,17818,25250,5253,5099,146501,34588,34588,113402,23741,23741,168353,23813,21741,58756,8315,8315,74688,5117,5117,114610,18733,18688,140199,10911,10875,168863,10403,10092,256241,15073,14847,160961,15193,15126,87626,12632,12613,80468,15681,15665,82553,14600,14592,54543,10530,10530,53617,10857,10711,26900,10967,10770,39647,13391,13331,31323,13686,13686,77742,20617,20106,70664,27272,27161
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Greece,148515,45440,45411,55228,13619,14129,218375,59956,59776,70881,21250,21357,134419,40401,40436,139486,40775,41112,18637,6568,6568,177692,51925,51970,107194,24244,24301,71177,13242,12598,296899,64260,60890,414329,82207,80224,196359,42447,41377,190076,52473,43849,78819,11034,11045,137868,18110,18104,1450,670,675,23077,7110,7110,0,0,0,0,0,0,0,0,0,0,0,0,5228,1740,1740
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Slovenia,127726,31509,31509,172141,42944,42944,39772,11391,11437,98297,29888,32048,68521,20976,20976,64828,21424,21424,46972,14366,14366,24191,4640,4640,23376,4190,4190,25307,2192,2197,1223,433,426,62602,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Romania,99616,47715,40333,99562,33770,33770,70270,30635,27581,6706,5196,2921,9695,13719,7263,52150,18509,18144,0,0,0,7925,5949,4158,5629,4162,2489,0,0,0,85321,33750,33750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Peru,84084,17861,17861,0,0,0,0,0,0,0,0,0,653,77,41,0,0,0,0,0,0,0,0,0,7906,3201,1656,0,0,0,0,0,0,0,0,0,252,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61440,20520,20520,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Israel,82489,19589,12780,280615,48035,30226,224346,38239,26644,182603,52236,39054,182017,40354,26045,120463,37302,23769,44277,12548,10493,55248,19025,14917,40375,7734,5649,97646,24622,18235,47579,8439,8439,68675,16382,13927,93252,15782,13462,36534,8924,8924,38899,7209,7209,24484,10860,10860,13446,6651,6651,25108,12334,12334,17344,8370,8370,21083,9810,9810,15752,6534,6534,21520,8100,8100,29751,12455,11430
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Moldova,70282,38336,25700,66480,25998,17348,8965,5832,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Austria,53974,7403,7403,141822,13427,13018,52348,6540,6540,128378,16295,16145,21664,3518,3518,24629,2655,2655,7551,1485,1485,3891,360,360,32115,2770,2521,227203,56848,55390,85116,8096,7984,56227,6357,5706,30075,2329,2329,12073,1895,1895,69234,11197,11197,27325,1530,1530,8360,1350,1350,17322,1688,1688,24677,1170,1170,0,0,0,0,0,0,8896,770,770,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Morocco,46497,13932,13932,6958,986,986,8326,2160,2160,16816,2250,2250,0,0,0,0,0,0,0,0,0,15082,1755,1755,0,0,0,0,0,0,3851,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Bulgaria,40021,29031,16424,105623,34185,23369,58318,23110,16289,9916,10943,6055,17551,16166,8835,68234,35284,23378,55253,17777,17777,51677,17245,17056,46858,15018,12974,21988,5946,5396,0,0,0,2527,1097,1097,94727,20997,20997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Turkey,38817,22087,12393,0,0,0,55039,17563,14526,0,0,0,1245,1591,792,0,0,0,0,0,0,109741,32247,32247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Croatia,35563,887,887,78954,17343,17343,0,0,0,2900,450,450,0,0,0,0,0,0,0,0,0,3779,2069,2070,0,0,0,0,0,0,16571,630,630,12388,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Georgia,26983,12506,7097,32901,19188,10980,42948,20274,11628,41161,21748,12407,20416,8164,4743,0,0,0,0,0,0,0,0,0,0,0,0,134202,33750,33750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Portugal,20390,18944,18954,20641,15535,17660,32242,9666,9684,16342,7092,7129,58791,20950,20998,37848,16489,13599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",United Kingdom,19595,1655,4425,9357,1164,1402,22936,2586,3390,46619,4815,6294,51036,4124,7529,1033,16,148,255,5,53,1352,90,90,9410,315,315,2789,127,126,26466,406,405,6021,270,270,22292,621,621,53375,10236,7728,10257,315,315,67728,7056,7056,56268,14909,14909,33932,4833,4826,0,0,0,0,0,0,0,0,0,0,0,0,959,135,135
22042910,Wine in containers larger than 10 liters,Italy,13000,5382,4892,1940,546,543,4310,2160,2160,91639,14621,14621,40929,23850,23850,42433,24205,17024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Czech Republic,12044,4950,3375,5528,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Canada,11607,884,884,0,0,0,0,0,0,0,0,0,17418,301,2442,0,0,0,0,0,0,0,0,0,25958,1530,1530,0,0,0,0,0,0,35032,2322,2322,0,0,0,0,0,0,30957,396,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Armenia,11372,1980,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Syria,5187,1094,563,1280,484,252,0,0,0,409,641,338,0,0,0,269,398,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",South Georgia and the South Sandwich Islands,2797,1788,954,2915,1838,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Armenia,2296,405,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Chile,2048,24,24,0,0,0,6750,3600,3600,0,0,0,0,0,0,21600,10800,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
