NCM Code,NCM Description,Country,2022 - US$ FOB,2022 - Net Weight,2022 - Quantity,2021 - US$ FOB,2021 - Net Weight,2021 - Quantity,2020 - US$ FOB,2020 - Net Weight,2020 - Quantity,2019 - US$ FOB,2019 - Net Weight,2019 - Quantity,2018 - US$ FOB,2018 - Net Weight,2018 - Quantity,2017 - US$ FOB,2017 - Net Weight,2017 - Quantity,2016 - US$ FOB,2016 - Net Weight,2016 - Quantity,2015 - US$ FOB,2015 - Net Weight,2015 - Quantity,2014 - US$ FOB,2014 - Net Weight,2014 - Quantity,2013 - US$ FOB,2013 - Net Weight,2013 - Quantity,2012 - US$ FOB,2012 - Net Weight,2012 - Quantity,2011 - US$ FOB,2011 - Net Weight,2011 - Quantity,2010 - US$ FOB,2010 - Net Weight,2010 - Quantity,2009 - US$ FOB,2009 - Net Weight,2009 - Quantity,2008 - US$ FOB,2008 - Net Weight,2008 - Quantity,2007 - US$ FOB,2007 - Net Weight,2007 - Quantity,2006 - US$ FOB,2006 - Net Weight,2006 - Quantity,2005 - US$ FOB,2005 - Net Weight,2005 - Quantity,2004 - US$ FOB,2004 - Net Weight,2004 - Quantity,2003 - US$ FOB,2003 - Net Weight,2003 - Quantity,2002 - US$ FOB,2002 - Net Weight,2002 - Quantity,2001 - US$ FOB,2001 - Net Weight,2001 - Quantity,2000 - US$ FOB,2000 - Net Weight,2000 - Quantity
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Montenegro,0,0,0,42,9,9,20,10,10,46,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Norway,0,0,0,40,12,12,5,1,1,289,97,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",French Guyana,0,0,0,32,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Switzerland,0,0,0,30,14,2,170,69,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,France,0,0,0,30,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Swaziland,0,0,0,24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Montenegro,0,0,0,23,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Cyprus,0,0,0,18,4,4,325,56,54,99,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Japan,0,0,0,17,6,6,0,0,0,0,0,0,0,0,0,3591,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Qatar,0,0,0,2,1,1,0,0,0,5,0,2,0,0,0,81606,13338,13338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Portugal,0,0,0,0,0,0,291,111,106,317,130,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Mexico,0,0,0,0,0,0,215,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Cameroon,0,0,0,0,0,0,178,0,4,0,0,0,0,0,0,7476,1749,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Spain,0,0,0,0,0,0,127,28,42,1353,3541,34,22607,6252,4927,0,0,0,0,0,0,0,0,0,0,0,0,4678,900,900,0,0,0,24618,5206,4320,0,0,0,4050,2181,1350,6834,2942,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Canada,0,0,0,0,0,0,90,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Bosnia and Herzegovina,0,0,0,0,0,0,52,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Jordan,0,0,0,0,0,0,52,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
